title,type,director,country,date_added,release_year,rating,duration,listed_in
Koi Aap Sa,Movie,Partho Mitra,India,31-May-19,2006,TV-14,135 min,"Comedies, International Movies, Music & Musicals"
Koko: The Gorilla Who Talks,Movie,Jonathan Taylor,United Kingdom,1-Mar-17,2016,TV-G,56 min,Documentaries
Kolaiyuthir Kaalam,Movie,Chakri Toleti,India,24-Apr-20,2019,TV-14,107 min,"International Movies, Thrillers"
Komola Rocket,Movie,Noor Imran Mithu,Bangladesh,7-Jan-19,2018,TV-14,95 min,"Dramas, Independent Movies, International Movies"
Kon Kon Kon,TV Show,,,16-Feb-18,2014,TV-PG,1 Season,"Docuseries, International TV Shows"
Kon-Tiki,Movie,"Joachim Rønning, Espen Sandberg","United Kingdom, Norway, Denmark, Germany, Sweden",26-Apr-19,2012,PG-13,96 min,"Action & Adventure, Dramas, International Movies"
Kong: King of the Apes,TV Show,,"United States, Japan, Canada",4-May-18,2018,TV-Y7,2 Seasons,Kids' TV
Kongsuni and Friends,TV Show,,,30-Oct-20,2020,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows"
Kopitiam,TV Show,,Malaysia,3-Nov-18,2003,TV-14,7 Seasons,"International TV Shows, TV Comedies"
Korean Pork Belly Rhapsody,TV Show,,,4-Jan-21,2020,TV-G,1 Season,"Docuseries, International TV Shows"
Koshish,Movie,Gulzar,India,31-Dec-19,1972,TV-14,115 min,"International Movies, Romantic Movies"
Kraftidioten,Movie,Hans Petter Moland,"Norway, Denmark, Sweden",5-Jan-17,2014,TV-MA,117 min,"Comedies, International Movies, Thrillers"
Krish Trish and Baltiboy,Movie,,,8-Sep-17,2009,TV-Y7,58 min,Children & Family Movies
Krish Trish and Baltiboy: Battle of Wits,Movie,"Munjal Shroff, Tilak Shetty",,8-Sep-17,2013,TV-Y7,62 min,Children & Family Movies
Krish Trish and Baltiboy: Best Friends Forever,Movie,"Munjal Shroff, Tilak Shetty",,8-Sep-17,2016,TV-Y,65 min,Children & Family Movies
Krish Trish and Baltiboy: Comics of India,Movie,Tilak Shetty,,8-Sep-17,2012,TV-Y7,61 min,Children & Family Movies
Krish Trish and Baltiboy: Face Your Fears,Movie,Tilak Shetty,India,17-Nov-17,2017,TV-Y7,65 min,Children & Family Movies
Krish Trish and Baltiboy: Oversmartness Never Pays,Movie,Tilak Shetty,,8-Sep-17,2017,TV-Y7,65 min,Children & Family Movies
Krish Trish and Baltiboy: Part II,Movie,,,8-Sep-17,2010,TV-Y7,58 min,Children & Family Movies
Krish Trish and Baltiboy: The Greatest Trick,Movie,"Munjal Shroff, Tilak Shetty",,8-Sep-17,2013,TV-Y7,60 min,Children & Family Movies
Krisha,Movie,Trey Edward Shults,United States,7-Nov-18,2015,R,81 min,"Dramas, Independent Movies"
Krishna and His Leela,Movie,Ravikanth Perepu,India,25-Jun-20,2020,TV-MA,126 min,"International Movies, Romantic Movies"
Krishna Balram,TV Show,,,8-Jul-19,2019,TV-Y7,1 Season,Kids' TV
Krishna Cottage,Movie,Santram Varma,India,31-May-19,2004,TV-MA,124 min,"Action & Adventure, Horror Movies, International Movies"
Kristy,Movie,Oliver Blackburn,United States,31-Oct-15,2013,NR,85 min,Horror Movies
Krutant,Movie,Datta Mohan Bhandare,India,2-Jun-19,2019,TV-14,114 min,"Dramas, International Movies"
Krystal,Movie,William H. Macy,United States,1-Jan-19,2017,R,93 min,"Comedies, Dramas"
Kucch To Hai,Movie,Anil V. Kumar,India,15-May-19,2003,TV-14,136 min,"Dramas, International Movies, Thrillers"
Kuch Kuch Hota Hai,Movie,Karan Johar,India,1-Apr-20,1998,TV-14,185 min,"Comedies, Dramas, International Movies"
Kuldip Patwal: I Didn't Do It!,Movie,Remy Kohli,India,31-Dec-19,2017,TV-MA,126 min,"Dramas, Independent Movies, International Movies"
Kulipari: An Army of Frogs,TV Show,,United States,2-Sep-16,2016,TV-Y7,1 Season,Kids' TV
Kulipari: Dream Walker,TV Show,,,20-Nov-18,2018,TV-Y7,1 Season,Kids' TV
Kung Fu Hustle,Movie,Stephen Chow,"Hong Kong, China, United States",1-Apr-20,2004,R,99 min,"Action & Adventure, Comedies, Cult Movies"
Kung Fu Magoo,Movie,Andrés Couturier,"Mexico, United States",1-Aug-18,2010,TV-Y7,79 min,"Children & Family Movies, Comedies"
Kung Fu Panda: Holiday,Movie,Tim Johnson,United States,1-Dec-12,2010,TV-PG,26 min,"Children & Family Movies, Comedies"
Kung Fu Panda: Secrets of the Scroll,Movie,Rodolphe Guenoden,United States,25-Mar-16,2016,TV-PG,23 min,"Children & Family Movies, Comedies"
Kung Fu Yoga,Movie,Stanley Tong,"China, India, Nepal",6-Oct-17,2017,TV-PG,107 min,"Action & Adventure, Comedies, International Movies"
Kuntilanak,Movie,Rizal Mantovani,Indonesia,12-Oct-18,2018,TV-14,106 min,"Horror Movies, International Movies"
Kuppivala,Movie,Suresh Pillai,,1-Aug-18,2017,TV-14,133 min,"Dramas, International Movies, Romantic Movies"
Kurbaan,Movie,Renzil D'Silva,India,1-Oct-18,2009,TV-14,147 min,"International Movies, Thrillers"
Kuroko's Basketball,TV Show,,Japan,15-Jan-21,2013,TV-MA,1 Season,"Anime Series, International TV Shows, Teen TV Shows"
Kuromukuro,TV Show,Tensai Okamura,Japan,4-Jul-16,2016,TV-14,2 Seasons,"Anime Series, International TV Shows"
Kurt & Courtney,Movie,Nick Broomfield,United Kingdom,8-Jan-19,1998,R,95 min,"Documentaries, Music & Musicals"
Kurt Seyit & Sura,TV Show,,Turkey,26-Dec-16,2014,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
Kurtulus Son Durak,Movie,Yusuf Pirhasan,Turkey,10-Mar-17,2012,TV-MA,100 min,"Comedies, Dramas, International Movies"
Kya Kehna,Movie,Kundan Shah,India,1-Apr-18,2000,TV-PG,149 min,"Dramas, International Movies, Romantic Movies"
Kyaa Kool Hai Hum,Movie,Sangeeth Sivan,India,15-May-19,2005,TV-14,165 min,"Comedies, International Movies, Music & Musicals"
Kyaa Kool Hain Hum 3,Movie,Umesh Ghadge,India,15-May-19,2016,R,124 min,"Comedies, International Movies"
Kygo: Live at the Hollywood Bowl,Movie,Devin Chanda,United States,12-Mar-18,2017,TV-MA,52 min,Music & Musicals
Kyo Kii... Main Jhuth Nahin Bolta,Movie,David Dhawan,India,16-May-19,2001,TV-PG,150 min,"Comedies, International Movies, Sci-Fi & Fantasy"
Kyun! Ho Gaya Na,Movie,Samir Karnik,India,1-Mar-18,2004,TV-PG,165 min,"International Movies, Romantic Movies"
L.A.’s Finest,TV Show,,United States,5-Jan-21,2019,TV-14,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies"
Léa & I,Movie,Camille Shooshani,,2-Aug-19,2019,TV-MA,84 min,Documentaries
La Última Fiesta,Movie,"Leandro Mark, Nicolás Silbert",Argentina,1-Feb-17,2016,TV-MA,104 min,"Comedies, International Movies"
LA 92,Movie,"Daniel Lindsay, T.J. Martin",United States,1-Mar-18,2017,R,114 min,Documentaries
La Bamba,Movie,Luis Valdez,United States,1-Jan-20,1987,PG-13,109 min,"Classic Movies, Dramas, Music & Musicals"
La casa de papel,TV Show,,Spain,3-Apr-20,2020,TV-MA,4 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
La Coppia dei Campioni,Movie,Giulio Base,Italy,15-Feb-17,2016,TV-MA,88 min,"Comedies, International Movies"
La Doña,TV Show,,"United States, Mexico",17-Nov-18,2016,TV-14,1 Season,"Spanish-Language TV Shows, TV Dramas"
La Esclava Blanca,TV Show,,Colombia,1-Aug-16,2016,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
La Familia P. Luche,TV Show,,United States,,2012,TV-14,3 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Comedies"
La Femme,TV Show,,,16-Oct-17,2016,TV-14,1 Season,"International TV Shows, TV Dramas"
La Gran Ilusión,Movie,Antonio Díaz,,28-Oct-20,2016,TV-14,50 min,International Movies
La Grande Chaumière Violette,TV Show,,Taiwan,14-Jan-19,2016,TV-14,1 Season,"International TV Shows, TV Dramas"
La Línea: Shadow of Narco,TV Show,Pepe Mora,Spain,9-Sep-20,2020,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
La Leyenda del Diamante,Movie,Roberto Girault Facha,Mexico,28-Jun-19,2017,TV-MA,87 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy"
La Mante,TV Show,,France,29-Dec-17,2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
La Niña,TV Show,,Colombia,18-Nov-16,2016,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
LA Originals,Movie,,"United States, Argentina",10-Apr-20,2020,TV-MA,92 min,"Documentaries, Music & Musicals"
La Piloto,TV Show,,Mexico,2-Apr-18,2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
La Révolution,TV Show,,France,16-Oct-20,2020,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas"
La Reina del Sur,TV Show,,"Mexico, United States, Spain, Colombia",29-Nov-19,2019,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
La Robe De Mariee Des Cieux,TV Show,,Taiwan,15-Nov-19,2004,TV-MA,1 Season,"International TV Shows, Romantic TV Shows"
La Rosa de Guadalupe,TV Show,,Mexico,15-Jan-19,2010,TV-PG,1 Season,"Classic & Cult TV, Crime TV Shows, International TV Shows"
La Viuda Negra,TV Show,Alejandro Lozano,"Colombia, Mexico, United States",15-Jan-19,2016,TV-14,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
Laal Rang,Movie,Syed Ahmad Afzal,India,1-Mar-18,2016,TV-14,143 min,"Dramas, International Movies, Thrillers"
Laatu,Movie,Manav Shah,India,2-May-19,2018,TV-PG,116 min,"Comedies, Dramas, International Movies"
Laddaland,Movie,Sopon Sukdapisit,Thailand,7-Sep-18,2011,TV-MA,112 min,"Horror Movies, International Movies"
Ladies First,Movie,Uraaz Bahl,India,8-Mar-18,2018,TV-G,40 min,"Documentaries, International Movies, Sports Movies"
Ladies Up,TV Show,,India,27-Mar-20,2019,TV-MA,1 Season,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies"
Lady Bird,Movie,Greta Gerwig,United States,3-Jun-20,2017,R,94 min,"Comedies, Dramas, Independent Movies"
Lady Bloodfight,Movie,Chris Nahon,Hong Kong,5-Aug-17,2016,R,101 min,Action & Adventure
Lady Driver,Movie,Shaun Paul Piccinino,United States,2-May-20,2019,PG,104 min,"Dramas, Sports Movies"
Lady Dynamite,TV Show,,United States,10-Nov-17,2017,TV-MA,2 Seasons,TV Comedies
Lady in the Water,Movie,M. Night Shyamalan,United States,1-Jul-19,2006,PG-13,110 min,"Sci-Fi & Fantasy, Thrillers"
Lady J,Movie,Emmanuel Mouret,France,8-Mar-19,2019,TV-MA,111 min,"Dramas, Independent Movies, International Movies"
Lady-Like,Movie,,United States,18-Jan-19,2018,NC-17,83 min,"Comedies, Independent Movies"
"Lady, la vendedora de rosas",TV Show,,Colombia,1-Apr-18,2015,TV-14,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
Laerte-se,Movie,"Lygia Barbosa da Silva, Eliane Brum",Brazil,19-May-17,2017,TV-MA,101 min,"Documentaries, International Movies, LGBTQ Movies"
Lagaan,Movie,Ashutosh Gowariker,India,10-Jan-21,2001,PG,224 min,"Dramas, International Movies, Music & Musicals"
Lagos Real Fake Life,Movie,Mike Ezuruonye,,29-Nov-19,2018,TV-MA,118 min,"Comedies, International Movies"
Lakeeran,Movie,,India,1-Dec-19,2016,TV-PG,111 min,"Dramas, International Movies, Romantic Movies"
Lakshya,Movie,Farhan Akhtar,India,15-Dec-19,2004,TV-PG,185 min,"Action & Adventure, Dramas, International Movies"
Lal Patthar,Movie,Sushil Majumdar,India,1-Jul-17,1971,TV-14,153 min,"Classic Movies, Dramas, International Movies"
Lalbaug Parel: Zali Mumbai Sonyachi,Movie,Mahesh Manjrekar,India,15-Mar-18,2010,TV-MA,145 min,"Dramas, International Movies"
Land Girls,TV Show,,United Kingdom,1-Aug-17,2011,TV-14,3 Seasons,"British TV Shows, International TV Shows, TV Dramas"
Lang Tong,Movie,Sam Loh,Singapore,20-Dec-18,2015,TV-MA,82 min,"International Movies, Thrillers"
Lara and the Beat,Movie,Tosin Coker,Nigeria,14-Sep-20,2018,TV-MA,140 min,"Dramas, International Movies, Music & Musicals"
Larceny,Movie,R. Ellis Frazier,"United States, Mexico",15-Sep-17,2017,TV-14,87 min,Action & Adventure
Larry Charles' Dangerous World of Comedy,TV Show,,,15-Feb-19,2019,TV-MA,1 Season,"Docuseries, TV Comedies"
Larry the Cable Guy: Remain Seated,Movie,Brian Volk-Weiss,United States,26-Nov-20,2020,TV-14,68 min,Stand-Up Comedy
Larva,TV Show,,Russia,1-Feb-16,2015,TV-Y7,3 Seasons,"Kids' TV, Korean TV Shows, TV Comedies"
Larva Island,TV Show,,,1-Mar-19,2019,TV-Y7,2 Seasons,"Kids' TV, Korean TV Shows, TV Comedies"
Las muñecas de la mafia,TV Show,,Colombia,15-Mar-19,2018,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
Last,TV Show,,South Korea,22-May-17,2015,TV-14,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows"
Last Breath,Movie,"Alex Parkinson, Richard da Costa","United Kingdom, Belgium, Sweden",6-May-19,2019,TV-MA,86 min,"Documentaries, International Movies"
Last Chance U,TV Show,,United States,28-Jul-20,2020,TV-MA,5 Seasons,Docuseries
Last Ferry,Movie,Jaki Bradley,United States,11-Mar-20,2019,TV-MA,86 min,"Dramas, Independent Movies, LGBTQ Movies"
Last Flight to Abuja,Movie,Obi Emelonye,"Nigeria, United Kingdom",16-Jun-20,2012,TV-14,76 min,"Dramas, International Movies"
LAST HOPE,TV Show,,Japan,21-Dec-18,2018,TV-14,2 Seasons,"Anime Series, International TV Shows"
Last Knights,Movie,Kazuaki Kiriya,"United Kingdom, South Korea",1-Aug-19,2015,R,115 min,Action & Adventure
Last Night,Movie,Massy Tadjedin,"United States, France",1-Jan-19,2010,R,93 min,"Dramas, Independent Movies, Romantic Movies"
Last Tango in Halifax,TV Show,Juliet May,United Kingdom,12-Jan-21,2020,TV-MA,4 Seasons,"British TV Shows, Romantic TV Shows, TV Dramas"
Late Life: The Chien-Ming Wang Story,Movie,Frank W Chen,"United States, Taiwan",15-Mar-19,2018,TV-14,98 min,"Documentaries, Sports Movies"
Latte and the Magic Waterstone,Movie,"Regina Welker, Nina Wels",Germany,31-Jul-20,2020,TV-Y,83 min,"Children & Family Movies, Comedies"
Lavell Crawford: Can a Brother Get Some Love?,Movie,Michael Drumm,United States,2-Aug-16,2011,TV-MA,81 min,Stand-Up Comedy
Lavender,TV Show,,Taiwan,15-Jan-19,2002,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
Lawless,Movie,John Hillcoat,United States,29-Dec-19,2012,R,116 min,Dramas
Laws of Attraction,TV Show,,,16-Oct-17,2012,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
Layer Cake,Movie,Matthew Vaughn,United Kingdom,1-Mar-19,2004,R,105 min,"Independent Movies, International Movies, Thrillers"
Layla M.,Movie,Mijke de Jong,"Netherlands, Belgium, Germany, Jordan",23-Mar-18,2016,TV-MA,99 min,"Dramas, International Movies"
Le K Benzema,Movie,"Damien Piscarel, Florent Bodin",France,1-May-18,2017,TV-14,121 min,"Documentaries, International Movies, Sports Movies"
Le serment des Hitler,Movie,Emmanuel Amara,France,1-May-19,2014,TV-PG,54 min,"Documentaries, International Movies"
League of Legends Origins,Movie,Leslie Iwerks,United States,16-Oct-19,2019,TV-MA,78 min,Documentaries
Leah Remini: Scientology and the Aftermath,TV Show,,United States,1-Nov-20,2018,TV-14,3 Seasons,Docuseries
Leap Year,Movie,Anand Tucker,"United States, Ireland",15-Nov-19,2010,PG,100 min,"Comedies, Romantic Movies"
Leap!,Movie,"Eric Summer, Éric Warin","France, Canada",7-Jan-21,2016,PG,89 min,"Children & Family Movies, Comedies"
LeapFrog: Letter Factory,Movie,Roy Allen Smith,United States,15-Apr-20,2003,TV-Y,37 min,Children & Family Movies
LeapFrog: Numberland,Movie,Ron Myrick,United States,15-Apr-20,2011,TV-Y,33 min,Movies
LeapFrog: Phonics Farm,Movie,Ron Myrick,United States,15-Apr-20,2011,TV-Y,35 min,Movies
"LeapFrog: Sing-along, Read-along",Movie,Ron Myrick,,15-Apr-20,2011,TV-Y,32 min,Children & Family Movies
Learning Songs by Little Baby Bum: Nursery Rhyme Friends,TV Show,,,1-Jul-17,2015,TV-Y,1 Season,"British TV Shows, Kids' TV"
Learning Time with Timmy,TV Show,,United Kingdom,15-May-20,2018,TV-Y,1 Season,"British TV Shows, Kids' TV"
Lechmi,Movie,B.N. Shajeer Sha,India,1-Aug-18,2017,TV-MA,147 min,"Comedies, Horror Movies, International Movies"
Lee Daniels' The Butler,Movie,Lee Daniels,United States,16-Dec-20,2013,PG-13,132 min,Dramas
Left Behind,Movie,Vic Armstrong,"United States, Canada",26-Dec-18,2014,PG-13,110 min,"Action & Adventure, Faith & Spirituality, Sci-Fi & Fantasy"
Legacies,TV Show,,United States,3-Apr-20,2019,TV-14,2 Seasons,"TV Dramas, TV Sci-Fi & Fantasy, Teen TV Shows"
Legend,Movie,Brian Helgeland,"United Kingdom, France, United States",16-Jan-20,2015,R,132 min,"Dramas, International Movies, Thrillers"
Legend of the Guardians: The Owls of Ga'Hoole,Movie,Zack Snyder,"United States, Australia",1-Jan-20,2010,PG,97 min,Children & Family Movies
Legend of the Naga Pearls,Movie,Yang Lei,China,30-Mar-18,2017,TV-MA,108 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy"
Legend Quest,TV Show,,Mexico,24-Feb-17,2017,TV-Y7,1 Season,Kids' TV
Legend Quest: Masters of Myth,TV Show,,Mexico,5-Oct-19,2019,TV-Y7,1 Season,Kids' TV
Legendary Weapons of China,Movie,Chia-Liang Liu,Hong Kong,16-Aug-18,1982,TV-14,101 min,"Action & Adventure, Cult Movies, International Movies"
Legends of Strength,TV Show,,United States,18-Jan-19,2017,TV-PG,1 Season,Docuseries
LEGENDS OF THE HIDDEN TEMPLE,Movie,Joe Menendez,United States,2-Nov-19,2016,TV-PG,68 min,Children & Family Movies
Legion,Movie,Scott Stewart,United States,1-Nov-19,2010,R,100 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy"
LEGO Bionicle: The Journey to One,TV Show,,United States,29-Jul-16,2016,TV-Y7,2 Seasons,Kids' TV
Lego DC Comics: Batman Be-Leaguered,Movie,Rick Morales,United States,1-Feb-19,2014,TV-Y7,22 min,Movies
LEGO Elves: Secrets of Elvendale,TV Show,,United States,1-Sep-17,2017,TV-Y7,1 Season,Kids' TV
Lego Friends,TV Show,,," February 1, 2019",2017,TV-G,3 Seasons,Kids' TV
Lego Friends: Girls on a Mission,TV Show,"Andrew Tan, Stephen Murray",Denmark,1-Feb-19,2018,TV-Y,1 Season,Kids' TV
LEGO Friends: The Power of Friendship,TV Show,,Denmark,10-Jun-16,2016,TV-Y7,2 Seasons,Kids' TV
LEGO House - Home of the Brick,Movie,"Anders Falck, Stinus Morell Vithner",,15-Jun-18,2018,TV-G,48 min,"Documentaries, International Movies"
LEGO Jurassic World: Legend of Isla Nublar,TV Show,,United States,1-Nov-20,2019,TV-Y,1 Season,Kids' TV
LEGO Jurassic World: Secret Exhibit,TV Show,,United States,1-Nov-20,2018,TV-Y,1 Season,Kids' TV
LEGO Jurassic World: The Indominus Escape,Movie,Michael D. Black,United States,4-Oct-16,2016,TV-Y7,25 min,"Children & Family Movies, Comedies"
LEGO Marvel Super Heroes: Avengers Reassembled!,Movie,Rob Silvestri,United States,6-Aug-17,2015,TV-Y7,22 min,Children & Family Movies
LEGO Marvel Super Heroes: Black Panther,Movie,Michael D. Black,United States,1-Feb-19,2018,TV-Y7,22 min,Children & Family Movies
LEGO Marvel Super Heroes: Guardians of the Galaxy,Movie,,United States,1-Feb-19,2017,TV-Y,22 min,Children & Family Movies
LEGO Ninjago,TV Show,,Canada,1-Nov-20,2020,TV-Y7,2 Seasons,Kids' TV
LEGO Ninjago: Masters of Spinjitzu,TV Show,,"Denmark, Singapore, Canada, United States",1-Nov-20,2019,TV-Y7,10 Seasons,Kids' TV
LEGO Ninjago: Masters of Spinjitzu: Day of the Departed,Movie,,"Denmark, China",1-Feb-19,2016,TV-Y7-FV,44 min,"Action & Adventure, Children & Family Movies"
LEGO: CITY Adventures,TV Show,,"United States, France",1-Nov-20,2019,TV-Y,1 Season,"Kids' TV, TV Comedies"
LEGO: Marvel Super Heroes: Maximum Overload,Movie,Greg Richardson,United States,6-Jan-17,2013,TV-Y7,22 min,Children & Family Movies
Leila,TV Show,,India,14-Jun-19,2019,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries"
Lembi 8 Giga,Movie,Ashraf Fayeq,,28-Apr-20,2010,TV-MA,111 min,"Comedies, International Movies"
Lenox Hill,TV Show,,United States,10-Jun-20,2020,TV-MA,1 Season,"Docuseries, Reality TV"
Lens,Movie,Jayaprakash Radhakrishnan,India,1-Jun-17,2015,TV-MA,109 min,"Dramas, Independent Movies, International Movies"
Leo & Tig,TV Show,,,20-Aug-18,2017,TV-Y,1 Season,Kids' TV
Leo the Lion,Movie,Mario Cambi,"United States, Italy",20-Dec-15,2013,TV-Y7-FV,78 min,"Children & Family Movies, Comedies"
"Les Bleus - Une autre histoire de France, 1996-2016",Movie,"Pascal Blanchard, Sonia Dauger, David Dietz",France,15-Mar-17,2016,TV-MA,103 min,"Documentaries, International Movies, Sports Movies"
Les Misérables,Movie,Tom Hooper,"United Kingdom, United States",16-Aug-20,2012,PG-13,158 min,"Dramas, International Movies, Music & Musicals"
Leslie Jones: Time Machine,Movie,"David Benioff, D.B. Weiss",United States,14-Jan-20,2020,TV-MA,66 min,Stand-Up Comedy
Lessons from a School Shooting: Notes from Dunblane,Movie,Kim A. Snyder,United States,28-Sep-18,2018,TV-14,24 min,Documentaries
Let It Fall: Los Angeles 1982-1992,Movie,John Ridley,United States,6-Nov-17,2017,TV-MA,144 min,Documentaries
Let It Snow,Movie,Luke Snellin,United States,8-Nov-19,2019,PG-13,93 min,"Comedies, Dramas, LGBTQ Movies"
Let There Be Light,Movie,John Huston,United States,31-Mar-17,1946,TV-PG,58 min,"Classic Movies, Documentaries"
Let's Dance,Movie,Inas El-Degheidy,Egypt,2-Jun-20,2006,TV-14,116 min,"Comedies, Dramas, International Movies"
Let's Eat 2,TV Show,,"Malaysia, Singapore, Hong Kong",8-Aug-19,2015,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
Let’s Eat,TV Show,,South Korea,8-Aug-19,2013,TV-PG,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
Levius,TV Show,,Japan,28-Nov-19,2019,TV-14,1 Season,"Anime Series, International TV Shows"
Leyla and Mecnun,TV Show,Onur Ünlü,Turkey,15-Apr-17,2014,TV-MA,3 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies"
Leyla Everlasting,Movie,,Turkey,4-Dec-20,2020,TV-MA,113 min,"Comedies, International Movies"
Lez Bomb,Movie,Jenna Laurenzo,United States,7-Feb-19,2018,TV-14,90 min,"Comedies, LGBTQ Movies"
"Liar, Liar, Vampire",Movie,Vince Marcello,United States,2-Nov-19,2015,TV-PG,68 min,"Children & Family Movies, Comedies"
Liar's Dice,Movie,Geetu Mohandas,India,1-Jul-17,2013,TV-MA,104 min,"Dramas, Independent Movies, International Movies"
Liberated: The New Sexual Revolution,Movie,,"United States, Mexico",1-Feb-18,2017,TV-MA,86 min,Documentaries
License to Drill: Louisiana,TV Show,,Canada,2-Oct-19,2014,TV-PG,1 Season,Reality TV
Liefling,Movie,Brian Webber,South Africa,14-Feb-20,2010,TV-PG,118 min,"Comedies, International Movies, Music & Musicals"
Life,TV Show,,South Korea,12-Sep-18,2018,TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Dramas"
Life 2.0,Movie,Jason Spingarn-Koff,United States,1-Apr-17,2010,TV-MA,99 min,Documentaries
Life After Beth,Movie,Jeff Baena,United States,21-Jul-18,2014,R,89 min,"Comedies, Horror Movies, Independent Movies"
Life in a ... Metro,Movie,Anurag Basu,India,1-Nov-18,2007,TV-14,126 min,"Dramas, International Movies, Music & Musicals"
Life in the Doghouse,Movie,Ron Davis,United States,1-Jun-19,2018,TV-PG,83 min,"Documentaries, LGBTQ Movies"
Life Ki Toh Lag Gayi,Movie,Rakesh Mehta,India,28-Dec-18,2012,TV-MA,109 min,"Action & Adventure, Comedies, Dramas"
Life of An Outcast,Movie,Pawan K Shrivastava,India,25-Feb-19,2018,TV-PG,80 min,"Dramas, Independent Movies, International Movies"
Life on Location,TV Show,,United States,22-Apr-15,2009,TV-G,1 Season,"British TV Shows, Docuseries, Science & Nature TV"
Life Overtakes Me,Movie,"John Haptas, Kristine Samuelson","Sweden, United States",15-Jun-19,2019,TV-PG,40 min,Documentaries
Life Plan A and B,TV Show,,Taiwan,1-Aug-17,2016,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
Life Sentence,TV Show,,United States,23-Jun-18,2018,TV-14,1 Season,TV Dramas
Life Story,TV Show,,United Kingdom,20-Jun-16,2014,TV-14,1 Season,"British TV Shows, Docuseries, Science & Nature TV"
Life's Speed Bump,Movie,Wael Ehsan,Egypt,2-Jun-20,2006,TV-14,109 min,"Comedies, International Movies"
Lifechanger,Movie,Justin McConnell,Canada,28-May-19,2018,TV-MA,84 min,"Horror Movies, Independent Movies, Thrillers"
Lifeline,Movie,Johnnie To,Hong Kong,16-Aug-18,1997,TV-14,104 min,"Action & Adventure, International Movies"
Light in the Dark,Movie,Ekene Som Mekwunye,Nigeria,18-May-20,2019,TV-14,105 min,"Dramas, International Movies"
Like Arrows,Movie,Kevin Peeples,United States,6-May-19,2018,TV-PG,99 min,"Dramas, Faith & Spirituality"
Like Father,Movie,Lauren Miller Rogen,United States,3-Aug-18,2018,TV-MA,104 min,"Comedies, Dramas"
Like Water for Chocolate,Movie,Alfonso Arau,Mexico,1-Nov-19,1992,R,105 min,"Classic Movies, Dramas, International Movies"
Lil Peep: Everybody’s Everything,Movie,"Sebastian Jones, Ramez Silyan",United States,4-Mar-20,2019,TV-MA,116 min,"Documentaries, Music & Musicals"
Lila & Eve,Movie,Charles Stone III,United States,6-Feb-16,2015,R,94 min,"Dramas, Thrillers"
Lilli,Movie,Prasobh Vijayan,India,17-Dec-18,2018,TV-MA,85 min,"Dramas, International Movies, Thrillers"
Lilyhammer,TV Show,,"Norway, United States",21-Nov-14,2014,TV-MA,3 Seasons,"Crime TV Shows, TV Comedies, TV Dramas"
Limitless,Movie,Vrinda Samartha,India,1-Oct-19,2017,TV-PG,59 min,"Documentaries, International Movies, Sports Movies"
Limmy's Show!,TV Show,,United Kingdom," October 1, 2019",2012,TV-MA,2 Seasons,"British TV Shows, TV Comedies"
Lincoln,Movie,Steven Spielberg,"United States, India",21-Feb-18,2012,PG-13,150 min,Dramas
Line Walker,Movie,Jazz Boon,"China, Hong Kong",1-Dec-18,2016,TV-MA,109 min,"Action & Adventure, Dramas, International Movies"
Lingua Franca,Movie,Isabel Sandoval,"United States, Philippines",26-Aug-20,2020,TV-MA,94 min,"Dramas, International Movies, LGBTQ Movies"
Lion Pride,TV Show,,Taiwan,21-Dec-18,2017,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
